Model,Experiment,Accuracy,F1,Recall,Precision
DistilBert,E0,0.9,0.9,0.9,0.9
GottBert,E0,0.88,0.88,0.88,0.88
Electra,E0,0.91,0.91,0.91,0.91
Bert,E0,0.91,0.91,0.91,0.91
DistilBert,E1,0.81,0.81,0.81,0.81
GottBert,E1,0.8,0.8,0.8,0.8
Electra,E1,0.78,0.78,0.78,0.79
Bert,E1,0.82,0.81,0.82,0.82
DistilBert,E2,0.89,0.89,0.89,0.89
GottBert,E2,0.88,0.88,0.88,0.88
Electra,E2,0.9,0.9,0.9,0.9
Bert,E2,0.9,0.9,0.9,0.9
DistilBert,E3,0.9,0.9,0.9,0.9
GottBert,E3,0.89,0.89,0.89,0.89
Electra,E3,0.91,0.91,0.91,0.91
Bert,E3,0.91,0.91,0.91,0.91
DistilBert,E4,0.94,0.94,0.94,0.94
GottBert,E4,0.92,0.92,0.92,0.92
Electra,E4,0.94,0.94,0.94,0.94
Bert,E4,0.94,0.94,0.94,0.94
